C1:1
C2:1
D1:1
F1:1
J1:1
J10 - 5V POWER OUT:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
JP1:1
JP2:1
Q1:1
Q2:1
R1:1
R2:1
R3:1
R4:1
R7:1
R8:1
REF**:2
U1:1
